NAME	ML	A/H	TEAM	OPP	OPP RANK	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L3 % OVER	LAST GAMES ➡️	LAST YR % OVER	OVER	UNDER
Adam Thielen	-165	H	MIN	NYG	14th	rec_yds	38.5	42.1	42.92 - 39.5	45.62 - 39.0	53%	0%	8,16,6,41,65,27,61,25,49,67,67,36,27,72,61,52,36	85%	-115	-115
Adam Thielen	-165	H	MIN	NYG	12th	rec	3.5	4.1	4.31 - 3.5	4.25 - 4.0	53%	0%	2,1,1,3,7,2,9,2,5,3,6,4,4,8,6,4,3	62%	'+110	-145
Aj Epenesa	-850	H	BUF	MIA		sacks	0.75	0.7	0.69 - 0.5	0.88 - 0.5	60%	67%	0,1,1,1,1,0,0,1,0,1	10%	'+115	-155
Camryn Bynum	-165	H	MIN	NYG	21st	tackles_combined	4.5	4.8	4.23 - 6.5	4.75 - 4.78	53%	33%	4,9,3,7,1,7,3,8,5,1,2,4,1,6,5,8,7	29%	-135	'+100
Christian Wilkins	'+600	A	MIA	BUF	7th	tackles_combined	5.5	5.8	5.0 - 6.62	6.33 - 5.12	53%	67%	6,6,5,6,9,12,4,7,4,1,6,4,6,5,4,8,5	41%	-120	-110
Dalvin Cook	-165	H	MIN	NYG	14th	rec_yds	16.5	17.4	18.92 - 12.25	12.62 - 21.56	41%	33%	0,17,13,95,13,-3,14,0,27,9,30,6,27,10,0,19,18	46%	-115	-115
Dalvin Cook	-165	H	MIN	NYG	12th	rec	2.5	2.3	2.46 - 1.75	2.0 - 2.56	41%	33%	1,2,3,4,1,2,4,0,3,2,5,1,2,2,0,4,3	46%	-125	-105
Dalvin Cook	-165	H	MIN	NYG	31st	rush_yds	70.5	69.0	79.54 - 34.75	52.88 - 83.33	59%	0%	37,27,64,95,23,86,42,72,119,47,111,77,94,76,96,17,90	69%	-115	-115
Dalvin Cook	-165	H	MIN	NYG	19th	rush_att	16.5	15.5	17.15 - 10.25	13.12 - 17.67	53%	0%	11,9,14,17,15,20,22,11,14,17,20,13,18,20,17,6,20	69%	-105	-125
Dalvin Tomlinson	-165	H	MIN	NYG		sacks	0.25	0.2	0.1 - 0.5	0.42 - 0.0	23%	33%	0,1,0,0,0,0,0,0,0,1,0,0,0	19%	'+210	-290
Daniel Bellinger	'+140	A	NYG	MIN	31st	rec_yds	25.5	24.4	22.75 - 27.5	16.5 - 28.86	36%	67%	42,27,4,19,24,13,38,22,23,40,16	0%	-110	-120
